"Fund","Date","NAV","DPS_annual"
"VFITX",3/31/1992,10.04,0.6852
"VFITX",6/30/1992,10.33,0.6732
"VFITX",9/30/1992,10.79,0.6591
"VFITX",12/31/1992,10.56,0.6588
"VFITX",3/31/1993,10.99,0.6156
"VFITX",6/30/1993,11.15,0.6444
"VFITX",9/30/1993,11.32,0.6276
"VFITX",12/31/1993,10.71,0.5928
"VFITX",3/31/1994,10.16,0.5232
"VFITX",6/30/1994,9.91,0.5712
"VFITX",9/30/1994,9.78,0.6
"VFITX",12/30/1994,9.63,0.6375
"VFITX",3/31/1995,9.96,0.6236
"VFITX",6/30/1995,10.51,0.6825
"VFITX",9/29/1995,10.51,0.6747
"VFITX",12/29/1995,10.88,0.644
"VFITX",3/29/1996,10.42,0.6525
"VFITX",6/28/1996,10.26,0.6379
"VFITX",9/30/1996,10.27,0.6359
"VFITX",12/31/1996,10.42,0.6735
"VFITX",3/31/1997,10.14,0.6646
"VFITX",6/30/1997,10.33,0.6393
"VFITX",9/30/1997,10.51,0.6338
"VFITX",12/31/1997,10.67,0.6669
"VFITX",3/31/1998,10.67,0.6545
"VFITX",6/30/1998,10.77,0.6278
"VFITX",9/30/1998,11.38,0.6169
"VFITX",12/31/1998,11.14,0.635
"VFITX",3/31/1999,10.78,0.6321
"VFITX",6/30/1999,10.48,0.626
"VFITX",9/30/1999,10.38,0.6181
"VFITX",12/31/1999,10.13,0.6423
"VFITX",3/31/2000,10.23,0.6634
"VFITX",6/30/2000,10.28,0.6308
"VFITX",9/29/2000,10.44,0.6352
"VFITX",12/29/2000,10.85,0.6598
"VFITX",3/30/2001,11.03,0.6671
"VFITX",6/29/2001,10.81,0.6316
"VFITX",9/28/2001,11.33,0.574
"VFITX",12/31/2001,11.03,0.5977
"VFITX",3/29/2002,10.82,0.6478
"VFITX",6/28/2002,11.25,0.6118
"VFITX",9/30/2002,12.04,0.5397
"VFITX",12/31/2002,11.79,0.5291
"VFITX",3/31/2003,11.69,0.4798
"VFITX",6/30/2003,11.87,0.4605
"VFITX",9/30/2003,11.66,0.4853
"VFITX",12/31/2003,11.4,0.511
"VFITX",3/31/2004,11.63,0.516
"VFITX",6/30/2004,11.13,0.4809
"VFITX",9/30/2004,11.36,0.4978
"VFITX",12/31/2004,11.26,0.5193
"VFITX",3/31/2005,11.01,0.5314
"VFITX",6/30/2005,11.27,0.5032
"VFITX",9/30/2005,11.04,0.5022
"VFITX",12/30/2005,10.93,0.5238
"VFITX",3/31/2006,10.67,0.5181
"VFITX",6/30/2006,10.52,0.4879
"VFITX",9/29/2006,10.81,0.4898
"VFITX",12/29/2006,10.76,0.5134
"VFITX",3/30/2007,10.81,0.514
"VFITX",6/29/2007,10.6,0.4859
"VFITX",9/28/2007,10.93,0.4821
"VFITX",12/31/2007,11.31,0.4925
"VFITX",3/31/2008,11.81,0.4665
"VFITX",6/30/2008,11.38,0.4428
"VFITX",9/30/2008,11.52,0.465
"VFITX",12/31/2008,12.1,0.2917
"VFITX",3/31/2009,11.91,0.3919
"VFITX",6/30/2009,11.44,0.3265
"VFITX",9/30/2009,11.63,0.3167
"VFITX",12/31/2009,11.09,0.3421
"VFITX",3/31/2010,11.12,0.3384
"VFITX",6/30/2010,11.62,0.3088
